"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","FDISTOCK","INWARD","PC_GDP","A","2015",18.385525280352,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2016",17.186365543039,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2017",22.821805769677,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2005",31.211209209652,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2006",38.382333285582,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2007",36.467506769776,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2008",31.372145804601,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2009",42.859016521544,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2010",43.546150454644,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2011",43.929045816512,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2012",53.819120489161,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2013",54.934175199928,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2014",52.113167871759,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2015",52.846331953667,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2016",55.486728356012,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2017",68.75963937268,
"USA","FDISTOCK","INWARD","PC_GDP","A","2005",21.521528707718,
"USA","FDISTOCK","INWARD","PC_GDP","A","2006",23.766452211507,
"USA","FDISTOCK","INWARD","PC_GDP","A","2007",24.529607218306,
"USA","FDISTOCK","INWARD","PC_GDP","A","2008",16.893244199747,
"USA","FDISTOCK","INWARD","PC_GDP","A","2009",20.774764006755,
"USA","FDISTOCK","INWARD","PC_GDP","A","2010",22.869606556159,
"USA","FDISTOCK","INWARD","PC_GDP","A","2011",22.546350588345,
"USA","FDISTOCK","INWARD","PC_GDP","A","2012",24.23857777842,
"USA","FDISTOCK","INWARD","PC_GDP","A","2013",29.646304766667,
"USA","FDISTOCK","INWARD","PC_GDP","A","2014",31.311742190222,
"USA","FDISTOCK","INWARD","PC_GDP","A","2015",31.628902702178,
"USA","FDISTOCK","INWARD","PC_GDP","A","2016",35.364169996738,
"USA","FDISTOCK","INWARD","PC_GDP","A","2017",40.453623827293,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2005",18.862767928973,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2006",25.547887463352,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2007",22.855853098013,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2008",20.576002257931,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2009",23.25042796485,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2010",20.068822666273,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2011",17.408954534703,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2012",16.976393927464,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2013",14.403341833574,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2014",15.821529702578,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2015",12.369763400151,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2016",12.996026578866,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2017",11.959474573724,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2005",19.953819606211,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2006",19.232201607274,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2007",20.938229606554,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2008",15.362807465778,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2009",22.026623574389,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2010",28.989449249359,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2011",24.812199697832,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2012",26.943062433609,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2013",25.387579861271,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2014",24.490198423986,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2015",23.850856613983,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2016",31.433449033144,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2017",30.316272410922,
